x,y,radius,brightness
7,23,0.33,239
8,23,0.34,244
22,23,0.37,239
23,23,0.34,240
24,23,0.4,242
25,23,0.33,239
26,23,0.39,241
27,23,0.36,239
28,23,0.4,242
32,23,0.35,243
35,23,0.37,242
50,23,0.37,241
7,24,0.35,240
8,24,0.33,242
9,24,0.38,243
10,24,0.34,243
11,24,0.4,239
12,24,0.33,241
14,24,0.37,245
15,24,0.38,238
16,24,0.4,240
17,24,0.34,239
18,24,0.34,240
19,24,0.4,244
21,24,0.33,244
22,24,0.4,240
23,24,0.39,240
24,24,0.36,242
25,24,0.4,241
26,24,0.4,241
27,24,0.37,240
28,24,0.4,240
29,24,0.35,239
30,24,0.4,241
31,24,0.39,240
32,24,0.4,239
33,24,0.37,244
34,24,0.38,243
35,24,0.4,240
36,24,0.39,242
37,24,0.4,242
38,24,0.4,241
40,24,0.4,242
41,24,0.4,241
42,24,0.38,241
43,24,0.4,243
47,24,0.37,239
48,24,0.33,241
49,24,0.4,241
50,24,0.35,241
51,24,0.4,243
52,24,0.4,241
53,24,0.4,240
57,24,0.35,245
61,24,0.37,242
64,24,0.37,242
65,24,0.34,246
69,24,0.38,244
70,24,0.4,241
71,24,0.36,239
72,24,0.35,242
1,25,0.33,239
2,25,0.4,243
3,25,0.33,242
4,25,0.37,242
5,25,0.35,241
6,25,0.39,239
9,25,0.4,242
10,25,0.4,245
11,25,0.4,244
12,25,0.4,239
15,25,0.4,240
17,25,0.4,243
18,25,0.36,242
19,25,0.39,245
20,25,0.35,245
21,25,0.4,241
22,25,0.38,240
23,25,0.4,240
24,25,0.33,241
25,25,0.34,241
26,25,0.35,241
27,25,0.36,241
28,25,0.37,241
29,25,0.36,241
30,25,0.38,243
31,25,0.38,240
32,25,0.34,241
33,25,0.33,241
34,25,0.37,240
35,25,0.34,242
36,25,0.38,242
37,25,0.33,241
38,25,0.39,241
39,25,0.33,240
40,25,0.4,241
41,25,0.37,240
42,25,0.4,241
43,25,0.36,242
44,25,0.38,242
45,25,0.4,238
46,25,0.37,241
47,25,0.37,240
48,25,0.4,241
49,25,0.4,240
50,25,0.4,241
51,25,0.38,240
52,25,0.4,241
53,25,0.4,241
54,25,0.37,241
55,25,0.35,241
56,25,0.34,241
57,25,0.4,241
58,25,0.33,241
59,25,0.39,241
60,25,0.39,241
61,25,0.34,240
62,25,0.4,241
63,25,0.4,243
64,25,0.4,241
65,25,0.37,241
67,25,0.34,241
68,25,0.4,242
69,25,0.39,242
70,25,0.4,241
71,25,0.4,241
72,25,0.37,242
73,25,0.33,240
74,25,0.34,241
75,25,0.4,242
76,25,0.37,242
77,25,0.4,241
78,25,0.4,239
81,25,0.4,241
83,25,0.4,240
84,25,0.36,240
85,25,0.4,240
86,25,0.33,242
87,25,0.39,241
96,25,0.4,241
1,26,0.39,240
2,26,0.34,242
6,26,0.39,243
22,26,0.39,241
23,26,0.37,237
24,26,0.4,241
25,26,0.36,237
26,26,0.36,238
27,26,0.38,236
29,26,0.35,240
30,26,0.36,238
31,26,0.38,243
32,26,0.4,239
33,26,0.34,241
34,26,0.35,242
35,26,0.35,240
36,26,0.4,241
37,26,0.4,239
38,26,0.35,240
39,26,0.4,242
40,26,0.33,239
41,26,0.36,240
42,26,0.37,240
43,26,0.39,241
44,26,0.4,243
45,26,0.4,239
46,26,0.39,242
47,26,0.4,242
48,26,0.38,241
49,26,0.4,241
50,26,0.4,241
51,26,0.36,241
52,26,0.4,241
53,26,0.4,241
54,26,0.38,241
55,26,0.37,242
56,26,0.35,241
57,26,0.39,241
58,26,0.34,242
59,26,0.4,240
60,26,0.4,239
61,26,0.4,241
62,26,0.4,240
63,26,0.39,241
64,26,0.4,240
65,26,0.34,240
66,26,0.33,239
67,26,0.4,239
68,26,0.37,242
69,26,0.4,241
70,26,0.38,242
71,26,0.37,241
72,26,0.4,242
73,26,0.37,239
74,26,0.4,240
75,26,0.4,240
76,26,0.35,242
77,26,0.4,242
78,26,0.33,240
79,26,0.38,241
80,26,0.39,241
81,26,0.4,241
82,26,0.35,242
83,26,0.39,241
84,26,0.37,241
85,26,0.4,242
86,26,0.34,243
87,26,0.36,241
88,26,0.4,242
89,26,0.37,242
90,26,0.4,241
91,26,0.33,240
92,26,0.37,240
93,26,0.34,241
94,26,0.39,237
95,26,0.4,239
96,26,0.37,242
97,26,0.4,241
98,26,0.36,240
99,26,0.38,241
